Anno,Paese,Codice Paese,BiocapPerCap,EFConsPerCap,Numero di Terre consumate,Overshoot Date,Quanti Territori,BiocapTotGHA,EFConsTotGHA,Biocap Built-up Land,Biocap Carbon,Biocap Cropland,Biocap Fishing Grounds,Biocap Forest Products,Biocap Grazing Land,EF Built-up Land,EF Carbon,EF Cropland,EF Fishing Grounds,EF Forest Products,EF Grazing Land,Indice di sviluppo umano (HDI),Popolazione,Prodotto interno lordo (PIL),Punteggio qualità dei dati
2007,Mondo,5001,1.695,2.813,1.660,2007-08-08,1.65,11547229259.99,19091414123.65,369893479.84,0.00,3103430105.39,1068337462.09,5463622870.43,1541945342.23,369893479.84,11935942795.84,3103430105.39,648234470.96,1981735524.18,1052177747.43,0.69,6764194972.04,N/D,PROIEZIONE
2008,Europa,2002,3.248,5.622,3.342,2008-04-19,1.73,2146754423.57,3715823378.08,87711214.47,0.00,556085204.65,285622289.44,1075152375.57,142183339.43,87711214.47,2299034230.14,669101550.47,127848604.38,370291365.05,161836413.57,0.85,N/D,N/D,
2008,Europa,2002,3.163,5.238,3.114,2008-04-27,1.66,2098632498.95,3477593162.01,86625644.58,0.00,517202550.41,283352718.92,1070908345.38,140543239.65,86625644.58,2138552390.73,588716584.76,126342745.62,379217201.09,158138595.24,0.86,N/D,N/D,PROIEZIONE
2008,Mondo,5001,1.697,2.742,1.630,2008-08-12,1.62,11562516604.78,18677597805.83,373461234.01,0.00,3052129370.32,1081396285.14,5492679968.64,1562849746.68,373461234.01,11596049669.42,3052129370.32,642001764.25,1952085378.31,1061870389.51,0.69,6811599872.00,9426.00,3A
2008,Mondo,5001,1.682,2.801,1.665,2008-08-07,1.66,11578660389.12,19223415024.92,379571112.65,0.00,3140515796.53,1068717570.26,5450070645.52,1539785264.16,379571112.65,12005736395.63,3140515796.53,650730412.82,1997017275.28,1049844032.02,0.69,6845696536.38,N/D,PROIEZIONE
2009,Europa,2002,3.204,5.014,3.002,2009-05-02,1.56,2123768050.08,3323656221.06,85957529.22,0.00,538131643.72,285660379.12,1072311046.96,141707451.06,85957529.22,1990780376.07,626414288.22,129810471.57,336277523.58,154416032.40,0.85,N/D,N/D,
2009,Europa,2002,3.163,5.198,3.113,2009-04-27,1.64,2102418697.91,3456122009.73,86891182.12,0.00,521949150.72,283374320.88,1069988383.04,140215661.16,86891182.12,2113865215.06,590839010.07,125953561.11,382153960.54,156419080.83,0.86,N/D,N/D,PROIEZIONE
2009,Mondo,5001,1.670,2.614,1.565,2009-08-21,1.57,11517049623.88,18031318372.76,369623607.21,0.00,3047384295.01,1081626144.34,5462326866.65,1556088710.66,369623607.21,11046829756.25,3047384295.01,630681146.89,1867720679.45,1069078887.94,0.69,6898310144.00,8814.42,3A
2009,Mondo,5001,1.670,2.789,1.670,2009-08-07,1.67,11610091518.26,19355415926.19,389248745.46,0.00,3177601487.67,1069097678.43,5436518420.61,1537625186.08,389248745.46,12075529995.41,3177601487.67,653226354.68,2012299026.38,1047510316.60,0.70,6927198100.72,N/D,PROIEZIONE
2010,Europa,2002,3.159,5.279,3.182,2010-04-25,1.67,2098821285.66,3507627043.35,84743993.39,0.00,515916031.39,284815868.83,1072044827.24,141300564.81,84743993.39,2156555239.78,596111125.20,127573024.65,385626756.09,157016904.24,0.86,N/D,N/D,
2010,Mondo,5001,1.659,2.754,1.660,2010-08-08,1.66,11592075621.01,19237208973.24,386066458.66,0.00,3134873676.78,1078496236.05,5445188940.64,1547450308.87,386066458.66,12039978066.10,3134873676.78,638292440.66,1994909338.40,1043088992.64,0.70,6985600000.00,9522.43,3A
2011,Europa,2002,3.174,5.306,3.216,2011-04-24,1.67,2114024798.48,3533474708.97,85766215.60,0.00,533843852.60,284310220.64,1069500923.46,140603586.18,85766215.60,2159786409.40,618154254.42,127255028.93,389027118.39,153485682.24,0.86,N/D,N/D,
2011,Mondo,5001,1.650,2.797,1.695,2011-08-03,1.70,11667781789.78,19780118465.85,402994944.65,0.00,3218245732.47,1076986477.53,5421442249.34,1548112385.78,402994944.65,12440858479.84,3218245732.47,638123438.25,2046852676.48,1033043194.15,0.70,7073129984.00,10440.41,3A
2012,Europa,2002,3.099,5.038,3.114,2012-04-27,1.63,2068143591.64,3362685639.67,82716299.56,0.00,495512266.42,282993906.42,1067727794.62,139193324.63,82716299.56,2079618437.90,545121497.01,118498076.41,385841053.75,150890275.05,0.86,N/D,N/D,
2012,Mondo,5001,1.618,2.770,1.712,2012-08-01,1.71,11585198445.74,19838958268.90,401330809.98,0.00,3180422421.36,1067716634.83,5401665860.65,1534062718.92,401330809.98,12518678699.60,3180422421.36,642945486.96,2046556578.30,1049024272.70,0.71,7161699840.00,10513.97,3A
2013,Europa,2002,3.163,5.046,3.113,2013-04-27,1.60,2115329239.80,3374852400.02,87354520.63,0.00,540983067.81,282895201.64,1065206250.48,138890199.25,87354520.63,2026249258.03,598563081.26,124233768.07,387819163.97,150632608.06,0.87,N/D,N/D,
2013,Mondo,5001,1.621,2.787,1.719,2013-07-31,1.72,11753845672.32,20204528915.23,431547133.24,0.00,3351649953.73,1067548977.05,5378165956.53,1524933651.77,431547133.24,12634689868.91,3351649953.73,669017816.69,2074085750.39,1043538392.26,0.71,7250590208.00,10688.11,3A
2014,Europa,2002,3.214,4.946,3.076,2014-04-29,1.54,2153572615.16,3313580176.37,95506304.79,0.00,573108308.70,282896438.79,1064450400.62,137611162.27,95506304.79,1914264975.36,633626440.51,128264668.23,394419333.76,147498453.72,0.87,N/D,N/D,
2014,Mondo,5001,1.608,2.741,1.705,2014-08-02,1.70,11797782223.46,20113868784.05,445668062.14,0.00,3397492976.79,1067606389.92,5363633278.26,1523381516.35,445668062.14,12434172978.58,3397492976.79,691314538.71,2088104873.40,1057115354.44,0.72,7339010048.00,10844.44,3A
2015,Europa,2002,3.180,4.811,3.026,2015-05-01,1.51,2134561668.18,3229426751.58,92525203.66,0.00,560078067.30,282595312.15,1062284797.37,137078287.70,92525203.66,1871111117.70,605885668.53,119697061.63,396539662.55,143668037.51,0.87,N/D,N/D,
2015,Mondo,5001,1.590,2.688,1.691,2015-08-04,1.69,11807973174.88,19960954589.71,451941990.49,0.00,3438638494.59,1066635672.28,5342045629.42,1508711388.10,451941990.49,12281253075.96,3438638494.59,680479786.46,2076498944.35,1032142297.86,0.72,7426599936.00,10115.16,3A
2016,Europa,2002,3.166,4.736,2.999,2016-05-01,1.50,2129752100.98,3186148949.15,88536780.01,0.00,559646205.12,283160922.32,1061374720.55,137033472.99,88536780.01,1821455960.71,604672688.92,125036795.87,404085499.10,142361224.54,0.87,N/D,N/D,
2016,Mondo,5001,1.579,2.641,1.673,2016-08-06,1.67,11861017948.71,19842648923.67,465276305.65,0.00,3491495196.54,1068478296.59,5328196441.32,1507571708.61,465276305.65,12041489755.20,3491495196.54,681789211.74,2132529989.01,1030068465.53,0.73,7513469952.00,10166.67,3A
2017,Europa,2002,3.208,4.895,3.106,2017-04-28,1.53,2162342707.33,3299559942.68,92509315.19,0.00,587086043.94,283228618.02,1062863315.90,136655414.28,92509315.19,1902829389.77,632324273.68,123207818.70,405115232.39,143573912.95,0.88,N/D,N/D,
